Day,Open,High,Low,Close,Adj Close,Volume
1842,148.25,150.539993,147.880005,149.529999,124.086121,4151000
1843,149.600006,149.789993,145.660004,147.089996,122.061317,4939600
1844,147.199997,147.759995,146.419998,147.059998,122.036385,2938000
1845,147.070007,148.75,147.070007,148.649994,123.35582,2834300
1846,148.699997,149.429993,147.130005,149.139999,123.762436,3453100
1847,149.75,151.509995,149.050003,151.279999,125.538307,3576000
1848,150.649994,151.440002,149.919998,150.669998,125.03215,2962200
1849,150.100006,150.679993,148.350006,148.570007,123.289467,3577600
1850,151,151,147.520004,149.800003,124.310173,3277400
1851,149.25,151.229996,149.149994,151,125.305962,3134200
1852,154.75,159.75,154.710007,158.289993,131.355469,10644400
1853,157.699997,162.259995,156.809998,160.860001,133.488235,7605900
1854,159.75,163.179993,159.520004,162.520004,134.865738,5496800
1855,162.5,163.75,161.520004,162.710007,135.023407,6845100
1856,162.020004,164.800003,162,163.220001,135.446655,5733300
1857,163.080002,164.220001,162.309998,163.389999,135.587662,4851400
1858,164.630005,167.160004,164.229996,166.600006,138.251556,6403800
1859,167.5,169.690002,165.860001,167.149994,138.707916,8052600
1860,166.949997,168.330002,165.759995,167.520004,139.014954,5103900
1861,167.899994,169.419998,167,168.690002,139.98587,4780000
1862,167.940002,169.919998,167.020004,168.679993,139.977615,6095300
1863,168.929993,169.899994,167.25,169,140.243103,5185300
1864,168.949997,170,167.800003,170,141.072937,4413800
1865,170.050003,171.149994,169.100006,169.169998,140.384216,4394400
1866,168.509995,171.449997,168.509995,170.690002,141.645538,4143700
1867,170.440002,174.399994,170.100006,174.199997,144.558304,5823500
1868,173.309998,176.660004,173.309998,176.559998,146.516724,8069400
1869,176.520004,176.520004,174.690002,175.5,145.6371,5749400
1870,174.320007,176,173.800003,175.649994,145.761581,4898200
1871,175.399994,177.490005,175.320007,177.449997,147.255234,3985500
1872,177.050003,179.850006,176.789993,178.860001,148.425369,6559900
1873,177.300003,178.970001,176.75,178.970001,148.516663,5615300
1874,179.270004,181.919998,178.610001,181.509995,150.624466,5754200
1875,181.210007,183.960007,180.649994,183.850006,152.566269,5163300
1876,183.820007,185.479996,183.089996,185.220001,153.703171,4699100
1877,184.220001,184.710007,182.139999,183.070007,151.918991,5867200
1878,184.070007,184.649994,181.850006,182.970001,151.835953,6127000
1879,181.25,182.630005,179.899994,180.050003,149.699158,5560400
1880,179.720001,180.690002,178.850006,180.399994,149.990189,4206600
1881,180.229996,184.869995,180.210007,184.699997,153.565353,4695800
1882,184.520004,188.25,184.399994,187.839996,156.17601,5516100
1883,188.639999,189.690002,187.160004,188.610001,156.816238,5224400
1884,189.179993,193.600006,188.289993,193.380005,160.78212,5732100
1885,192.009995,193.229996,188.389999,188.669998,156.86618,5703200
1886,188,190.550003,186.699997,189.75,157.764084,5354900
1887,190,191.020004,188.880005,189.789993,157.797363,4548300
1888,191,192.210007,184.75,185,153.814819,7731800
1889,184.509995,187.789993,182.699997,187.389999,155.801971,6191000
1890,188.899994,188.949997,185.300003,187.130005,155.585724,4153100
1891,187.679993,191.699997,187.679993,190,157.971985,4639000
1892,190.199997,191.419998,188.559998,188.679993,156.874481,3697900
1893,187.649994,189.919998,186.5,188.770004,156.94931,3989800
1894,188.399994,189,184.779999,184.779999,153.631882,4488400
1895,185.460007,187.070007,184.600006,187.059998,155.527527,3319800
1896,187.649994,189.800003,187.229996,187.729996,156.084579,3382300
1897,188.399994,190.940002,185.399994,190.360001,158.27124,4702800
1898,190.369995,194.320007,189.839996,193.110001,160.557739,5090900
1899,194,196.800003,194,196.720001,163.559189,4784000
1900,195.979996,197,194.880005,195.039993,162.162338,3397300
1901,195.350006,198.110001,195.029999,197.449997,164.166061,3344800
1902,199,199.889999,198.289993,199.759995,166.08667,3447600
1903,200,202.470001,199.990005,202.289993,168.190247,3057200
1904,200.229996,203.350006,199.149994,201.600006,167.616547,1978600
1905,201.350006,202.100006,193.110001,193.110001,160.557739,6328200
1906,193,197.490005,191.5,197.119995,163.891739,5864900
1907,197.990005,199.449997,193.059998,196.220001,163.143509,5915000
1908,195.979996,196.449997,193.179993,194.800003,161.96286,4082500
1909,195.699997,196.429993,191.520004,194.5,161.713394,4820900
1910,195.649994,200.080002,195.389999,200.050003,166.32785,4259100
1911,199.699997,202.25,198.210007,201.610001,167.624878,3733000
1912,202,205.050003,201,205,170.44339,4133200
1913,206.699997,206.699997,200,200.199997,166.45256,5237500
1914,200.240005,205.259995,200,205.100006,170.526535,4968600
1915,205.5,205.5,201.839996,202.520004,168.381516,5905800
1916,200.210007,203.850006,198.440002,200,166.286301,8926200
1917,200.720001,201.779999,198,198.309998,164.881104,5823000
1918,199.199997,200.800003,197.630005,200.130005,166.394379,5081500
1919,200.610001,201.949997,199.800003,199.839996,166.153244,5451400
1920,200.5,203.589996,199.639999,203.240005,168.980118,6018800
1921,201.979996,202.669998,200.429993,201.240005,167.317276,4865700
1922,201.789993,204.309998,201.240005,201.369995,167.425323,4336800
1923,202.360001,202.690002,197.699997,198.100006,164.706543,4661800
